sitename,county,aqi,pm2.5,longitude,latitude,publishtime,pm10
基隆,基隆市,33,8,121.760056,25.129167,2024/05/03 13:00:00,25
汐止,新北市,37,10,121.64081,25.06624,2024/05/03 13:00:00,25
萬里,新北市,43,7,121.689881,25.179667,2024/05/03 13:00:00,34
新店,新北市,43,13,121.537778,24.977222,2024/05/03 13:00:00,22
土城,新北市,45,15,121.451861,24.982528,2024/05/03 13:00:00,22
板橋,新北市,40,,121.458667,25.012972,2024/05/03 13:00:00,22
新莊,新北市,44,10,121.4325,25.037972,2024/05/03 13:00:00,13
菜寮,新北市,43,9,121.481028,25.06895,2024/05/03 13:00:00,20
林口,新北市,37,11,121.36548982,25.07798949,2024/05/03 13:00:00,19
淡水,新北市,36,8,121.449239,25.1645,2024/05/03 13:00:00,18
士林,臺北市,39,5,121.51666356,25.10334003,2024/05/03 13:00:00,8
中山,臺北市,39,15,121.526528,25.062361,2024/05/03 13:00:00,22
萬華,臺北市,41,12,121.507972,25.046503,2024/05/03 13:00:00,21
古亭,臺北市,42,13,121.529556,25.020608,2024/05/03 13:00:00,20
松山,臺北市,40,13,121.578611,25.05,2024/05/03 13:00:00,26
大同,臺北市,61,17,121.51342074,25.06331455,2024/05/03 13:00:00,29
桃園,桃園市,41,8,121.30500531,24.9947107,2024/05/03 13:00:00,25
大園,桃園市,39,7,121.20251473,25.06100357,2024/05/03 13:00:00,24
觀音,桃園市,45,11,121.08283092,25.03556747,2024/05/03 13:00:00,19
平鎮,桃園市,39,8,121.203986,24.952786,2024/05/03 13:00:00,26
龍潭,桃園市,44,13,121.21645772,24.86400048,2024/05/03 13:00:00,25
湖口,新竹縣,44,8,121.03886894,24.90009696,2024/05/03 13:00:00,21
竹東,新竹縣,44,14,121.08895493,24.74091408,2024/05/03 13:00:00,21
新竹,新竹市,46,14,120.97236752,24.8056356,2024/05/03 13:00:00,21
頭份,苗栗縣,42,8,120.89869286,24.69690679,2024/05/03 13:00:00,30
苗栗,苗栗縣,50,10,120.82011468,24.56499183,2024/05/03 13:00:00,33
三義,苗栗縣,39,17,120.75956754,24.38248443,2024/05/03 13:00:00,27
豐原,臺中市,45,18,120.74252414,24.25699731,2024/05/03 13:00:00,34
沙鹿,臺中市,36,9,120.568794,24.225628,2024/05/03 13:00:00,39
大里,臺中市,54,17,120.67844444,24.09961111,2024/05/03 13:00:00,35
忠明,臺中市,46,17,120.641092,24.151958,2024/05/03 13:00:00,36
西屯,臺中市,46,16,120.616917,24.162197,2024/05/03 13:00:00,34
彰化,彰化縣,36,10,120.541519,24.066,2024/05/03 13:00:00,29
線西,彰化縣,43,14,120.469061,24.131672,2024/05/03 13:00:00,58
二林,彰化縣,57,20,120.409653,23.925175,2024/05/03 13:00:00,54
南投,南投縣,60,19,120.685306,23.913,2024/05/03 13:00:00,38
斗六,雲林縣,76,25,120.544994,23.711853,2024/05/03 13:00:00,42
崙背,雲林縣,53,14,120.348742,23.757547,2024/05/03 13:00:00,37
新港,嘉義縣,64,23,120.345531,23.554839,2024/05/03 13:00:00,36
朴子,嘉義縣,57,21,120.2478,23.46538,2024/05/03 13:00:00,31
臺西,雲林縣,45,8,120.19933333,23.702175,2024/05/03 13:00:00,31
嘉義,嘉義市,72,23,120.44125148,23.46477865,2024/05/03 13:00:00,35
新營,臺南市,64,20,120.31725,23.305633,2024/05/03 13:00:00,39
善化,臺南市,81,21,120.29740529,23.11337642,2024/05/03 13:00:00,28
安南,臺南市,79,13,120.2175,23.048197,2024/05/03 13:00:00,36
臺南,臺南市,74,19,120.21947897,22.98928311,2024/05/03 13:00:00,35
美濃,高雄市,44,18,120.530542,22.883583,2024/05/03 13:00:00,30
橋頭,高雄市,71,22,120.305689,22.757506,2024/05/03 13:00:00,31
仁武,高雄市,63,15,120.332631,22.689056,2024/05/03 13:00:00,30
鳳山,高雄市,67,13,120.357422,22.628126,2024/05/03 13:00:00,29
大寮,高雄市,85,18,120.425311,22.56413611,2024/05/03 13:00:00,36
林園,高雄市,72,22,120.41175,22.4795,2024/05/03 13:00:00,39
楠梓,高雄市,63,16,120.328289,22.733667,2024/05/03 13:00:00,38
左營,高雄市,87,30,120.292917,22.674861,2024/05/03 13:00:00,43
前金,高雄市,61,13,120.28676111,22.63390278,2024/05/03 13:00:00,31
前鎮,高雄市,70,23,120.30833356,22.6044507,2024/05/03 13:00:00,39
小港,高雄市,63,18,120.337736,22.565833,2024/05/03 13:00:00,17
屏東,屏東縣,64,21,120.488033,22.673081,2024/05/03 13:00:00,36
潮州,屏東縣,77,29,120.561175,22.523108,2024/05/03 13:00:00,53
恆春,屏東縣,50,5,120.788928,21.958069,2024/05/03 13:00:00,12
臺東,臺東縣,42,0,121.15045,22.755358,2024/05/03 13:00:00,12
花蓮,花蓮縣,38,8,121.599769,23.971306,2024/05/03 13:00:00,15
陽明,臺北市,44,3,121.529583,25.182722,2024/05/03 13:00:00,6
宜蘭,宜蘭縣,33,9,121.746394,24.747917,2024/05/03 13:00:00,14
冬山,宜蘭縣,32,9,121.792928,24.632203,2024/05/03 13:00:00,24
三重,新北市,41,9,121.493806,25.072611,2024/05/03 13:00:00,22
中壢,桃園市,51,21,121.221667,24.953278,2024/05/03 13:00:00,32
竹山,南投縣,87,28,120.677306,23.756389,2024/05/03 13:00:00,47
永和,新北市,39,9,121.516306,25.017,2024/05/03 13:00:00,18
復興,高雄市,62,17,120.312017,22.608711,2024/05/03 13:00:00,27
埔里,南投縣,56,16,120.967903,23.968842,2024/05/03 13:00:00,29
馬祖,連江縣,84,17,119.93149378,26.15188416,2024/05/03 13:00:00,21
金門,金門縣,80,21,118.312256,24.432133,2024/05/03 13:00:00,29
馬公,澎湖縣,80,15,119.566158,23.569031,2024/05/03 13:00:00,27
關山,臺東縣,35,4,121.161933,23.045083,2024/05/03 13:00:00,10
麥寮,雲林縣,44,12,120.251825,23.753506,2024/05/03 13:00:00,24
富貴角,新北市,58,10,121.53656894,25.29681695,2024/05/03 13:00:00,24
大城,彰化縣,49,8,120.26964167,23.85493056,2024/05/03 13:00:00,20
彰化（員林）,彰化縣,60,16,120.56373,23.96117,2024/05/03 13:00:00,44
高雄（湖內）,高雄市,69,11,120.24535,22.87985556,2024/05/03 13:00:00,26
臺南（麻豆）,臺南市,67,15,120.24583056,23.17904722,2024/05/03 13:00:00,27
屏東（琉球）,屏東縣,82,32,120.37722,22.35222,2024/05/03 13:00:00,85
新北(樹林),新北市,48,17,121.38352778,24.94902778,2024/05/03 13:00:00,27
大甲（日南國小）,臺中市,42,13,120.65525382,24.39017512,2024/05/03 13:00:00,30
屏東(枋山),屏東縣,77,33,120.651472,22.260899,2024/05/03 13:00:00,51
